tweet_id,cleaned_text,airline_sentiment
570306133677760513,say,neutral
570301130888122368,plus add commercial experience tacky,positive
570301083672813571,today must mean need take another trip,neutral
570301031407624196,really aggressive blast obnoxious entertainment guest face amp little recourse,negative
570300817074462722,really big bad thing,negative
570300767074181121,seriously would pay flight seat playing really bad thing fly,negative
570300616901320704,yes nearly every time fly ear worm away,positive
570300248553349120,really miss prime opportunity man without hat parody,neutral
570299953286942721,well didntbut,positive
570295459631263746,amazing arrive hour early good,positive
570294189143031808,know suicide second lead cause death among teen,neutral
570289724453216256,pretty graphic much well minimal iconography,positive
570289584061480960,great deal already think trip amp even go trip yet,positive
570287408438120448,fly sky take away travel,positive
570285904809598977,thank,positive
570282469121007616,sfopdx schedule still mia,negative
570277724385734656,excited first cross country flight lax mco hear nothing great thing virgin america,positive
570276917301137409,fly nyc sfo last week could fully sit seat due two large gentleman either side help,negative
570270684619923457,fly,positive
570267956648792064,know would amazingly awesome bosfll please want fly,positive
570265883513384960,first fare may three time carrier seat available select,negative
570264145116819457,love graphic,positive
570259420287868928,love hipst innovation feel good brand,positive
570258822297579520,make bosgtla non stop permanently anytime soon,neutral
570256553502068736,guy mess seating reserve seating friend guy give seat away want free internet,negative
570249102404923392,status match program apply three week call email response,negative
570239632807370753,happen vegan food option least say site know able eat anything next hrs,negative
570217831557677057,miss worry well together soon,neutral
570207886493782019,amazing get cold air vent     ,negative
570124596180955136,lax ewr middle seat red eye noob maneuver,neutral
570114021854212096,bke cool birthday trip add elevate cause enter middle name flight booking problem,negative
570094701371469825,hour operation club sfo post online current,neutral
570088404156698625,help leave expensive headphone flight iad lax today seat one answer lampf number lax,negative
570084582780899328,await return phone call would prefer use online selfservice option,negative
570076792993611776,great news america could start flight hawaii end year via,positive
570051991277342720,nice vibe moodlight takeoff touchdown,neutral
570051381534396416,moodlighting way fly good experience ever cool calm,positive
570045393565691904,do do good airline around hand,positive
570038941497192448,book flight hawaii,neutral
570035876845084672,chat support work site,negative
570033593394667521,view downtown los angeles hollywood sign beyond rain mountain,positive
570025482344898560,hey first time flyer next week excited hard time get flight add elevate account help,negative
570016304284901379,plz help win bid upgrade flight laxgtsea,neutral
570015408788414464,unused ticket move new city fly fly expire,neutral
570013523650048002,flight leave dalla seattle time feb,neutral
570012257549070337,good reason rock,positive
570011341483843584,dream,neutral
570010571707256832,wow blow mind,positive
570010539499393025,    last night      think agree,neutral
570009713447825408,    entertain,neutral
570009035455344640,flight way suppose take minute ago website still show time flight thank,neutral
570006886012973056,    julie andrews way though impressive,positive
570004391731847169,wish fly atlanta soon,neutral
570001194900426752,    julie andrews hand,neutral
570000071644872704,flight leave dalla february,neutral
569996412286582784,excited lgagtdal deal try book since last week amp page never load thx,negative
569996245462159361,know need spotify stat,positive
569990222609412097,     lady gaga amazing,positive
569990163209850881,     carrie,neutral
569989504431316993,new marketing song let know think,neutral
569989321698074624,    julie andrews first lady gaga wowd last night carrie meh,neutral
569989034501500928,call week ago add flight elevatethey still show uphelp,negative
569987622484848640,    great,neutral
569986782567071744,    sorry mary martin first,neutral
569986348041547778,     love three really beat classic,positive
569982307634794497,flight dal dca try check could status please,neutral
569976620158578688,heyyyy guyyyys try get hour someone call please,negative
569973821396152323,virgin hold minute early flight nyc tonight early,negative
569972508499283968,congrat win award good deal airline,positive
569967019958730753,everything fine lose bag,negative
569961866224652288,need change reservation virgin credit card need modify phone waive change fee online,neutral
569949891163615232,email customer service team let know need tracking number,neutral
569948966873370625,book flight need add baggage,neutral
569946362126602240,airline awesome lax loft need step game dirty table floor,negative
569942903683813376,worry great ride new plane great crew airline like,positive
569941957490774016,awesome fly sit morning way correct bill,positive
569940834994401280,watch good student film country foot,neutral
569940323746516993,first time fly different ratepolicy medium bag thank,neutral
569935232033366017,go customer service anyway speak human asap thank,negative
569934395865493504,happen doom,neutral
569933816963342337,supp biz traveler like customer service like,negative
569933777931145216,apply member crew teamim interested,positive
569933405506310144,good whenever begrudgingly use airline delay late flight,negative
569933360564342784,interesting fly cancel flight next four flight plan,negative
569929243146088448,disappointing experience share every business traveler meet,negative
569926998824394752,trouble add flight wife book elevate account help,negative
569923394990419968,bring reservation online use flight booking problem code,neutral
569922008588222465,random distribution elevate avatar bet kitty disproportionate share,neutral
569920824905306113,fly life happen try trip jperhi helpva home page let,neutral
569919041244147712,site back,negative
569915941192015872,rnp yeah know,neutral
569913339427434496,get point elevate account recent flight add flight point account,neutral
569911816937033728,like interesting video disappointed cancel flightle flight flight go jfk saturday,negative
569911674158731264,land lax hour late flight bag check business travel friendly,negative
569911218942517248,flight redirect,neutral
569910981868060673,website btw new website great user experience time another redesign,negative
569909224521641984,check add bag website work try desktop mobile,negative
569907336485019648,let scan passenger leave plane tell someone remove bag class bin,negative
569896805611089920,phone number find call flight reservation,negative
569894449620369408,anyone anything today website useless one answer phone,negative
569894407001939968,try add boy prince ressie thursday lax,neutral
569892199690678272,must traveler miss flight late flight check bag miss morning appointment lose business,negative
569891469210755074,check new music,neutral
569891436100874241,direct flight fllgtsfo unexpected layover vegas fuel yet peep next buy vegas flight,negative
569887310713479168,late flight bag check lose business miss flight apt three people flight exp,negative
569887049446076416,amazing customer service raeann good,positive
569884551712886785,call service line hang awesome,negative
569884407852437504,site trip try check get plain text version reluctant enter card info,negative
569881548515708928,schedule sfo dal flight today change due weather look like flight still,neutral
569873669700358144,getaway deal may oneway lot cool city,positive
569873668131717120,getaway deal may oneway lot cool city,neutral
569873665640292353,getaway deal may oneway lot cool city,positive
569873664612704256,getaway deal may oneway lot cool city,neutral
569872058613673984,great week,positive
569861209781989377,come back already need take horrible cold,positive
569847920192655361,concerned fly plane need delay due tech stop,negative
569814339785338880,good airline fly oneasy change reservationhelpful representative amp comfortable flying experience,positive
569777607371128834,another rep kick butt naelah represent team beautifully thank,positive
569774078233419776,beautiful frontend design right cool still book ticket backend secure,positive
